country,patents,share
US,22749,0.4347
JP,8029,0.1534
KR,3285,0.0628
DE,2920,0.0558
CN,2788,0.0533
TW,1615,0.0309
GB,1431,0.0273
FR,1262,0.0241
CA,1188,0.0227
IN,946,0.0181
IL,725,0.0139
CH,567,0.0108
NL,566,0.0108
SE,531,0.0101
IT,527,0.0101
AU,319,0.0061
BE,297,0.0057
AT,264,0.005
FI,246,0.0047
SG,235,0.0045
DK,217,0.0041
ES,209,0.004
IE,152,0.0029
SA,111,0.0021
NO,108,0.0021
RU,108,0.0021
MX,77,0.0015
BR,75,0.0014
NZ,66,0.0013
CZ,60,0.0011
PL,59,0.0011
MY,49,0.0009
CM,46,0.0009
TR,38,0.0007
HU,36,0.0007
ZA,33,0.0006
UG,29,0.0006
AR,24,0.0005
PT,21,0.0004
RO,21,0.0004
AE,20,0.0004
LU,17,0.0003
PH,15,0.0003
CL,15,0.0003
PE,14,0.0003
EG,13,0.0002
UA,13,0.0002
SK,13,0.0002
TH,13,0.0002
BG,12,0.0002
GR,11,0.0002
LI,9,0.0002
RS,8,0.0002
HR,7,0.0001
CO,7,0.0001
EE,7,0.0001
CR,6,0.0001
IS,5,0.0001
VN,5,0.0001
BM,5,0.0001
BY,5,0.0001
JO,4,0.0001
ID,4,0.0001
LT,4,0.0001
IR,4,0.0001
QA,4,0.0001
SI,4,0.0001
AM,3,0.0001
PK,3,0.0001
BD,3,0.0001
CY,2,0.0
PS,2,0.0
DO,2,0.0
OM,2,0.0
UY,2,0.0
KZ,2,0.0
KY,2,0.0
CU,2,0.0
BN,2,0.0
BH,2,0.0
LV,2,0.0
LB,2,0.0
GA,1,0.0
AF,1,0.0
BA,1,0.0
BO,1,0.0
CD,1,0.0
GE,1,0.0
NG,1,0.0
MN,1,0.0
NE,1,0.0
MK,1,0.0
MC,1,0.0
LK,1,0.0
MA,1,0.0
LA,1,0.0
KP,1,0.0
KE,1,0.0
MT,1,0.0
NP,1,0.0
TD,1,0.0
SN,1,0.0
SY,1,0.0
